id,Predictions
74051,7.0
74052,7.0
74053,8.0
74054,18.0
74055,7.0
74056,21.0
74057,10.0
74058,7.0
74059,12.0
74060,8.0
74061,9.0
74062,11.0
74063,7.0
74064,13.0
74065,5.0
74066,4.0
74067,9.0
74068,15.0
74069,11.0
74070,11.0
74071,17.0
74072,10.0
74073,9.0
74074,9.0
74075,21.0
74076,8.0
74077,8.0
74078,10.0
74079,8.0
74080,10.0
74081,12.0
74082,10.0
74083,9.0
74084,9.0
74085,10.0
74086,6.0
74087,8.0
74088,12.0
74089,8.0
74090,8.0
74091,8.0
74092,11.0
74093,9.0
74094,10.0
74095,14.0
74096,14.0
74097,6.0
74098,5.0
74099,15.0
74100,10.0
74101,18.0
74102,12.0
74103,12.0
74104,15.0
74105,10.0
74106,9.0
74107,8.0
74108,5.0
74109,21.0
74110,6.0
74111,9.0
74112,8.0
74113,9.0
74114,10.0
74115,12.0
74116,10.0
74117,13.0
74118,10.0
74119,8.0
74120,23.0
74121,10.0
74122,12.0
74123,12.0
74124,4.0
74125,6.0
74126,7.0
74127,21.0
74128,9.0
74129,8.0
74130,10.0
74131,10.0
74132,8.0
74133,8.0
74134,19.0
74135,4.0
74136,7.0
74137,6.0
74138,15.0
74139,12.0
74140,19.0
74141,9.0
74142,10.0
74143,10.0
74144,17.0
74145,9.0
74146,7.0
74147,11.0
74148,3.0
74149,10.0
74150,7.0
74151,9.0
74152,17.0
74153,11.0
74154,13.0
74155,6.0
74156,12.0
74157,10.0
74158,9.0
74159,9.0
74160,10.0
74161,10.0
74162,16.0
74163,8.0
74164,9.0
74165,12.0
74166,8.0
74167,10.0
74168,11.0
74169,10.0
74170,10.0
74171,13.0
74172,12.0
74173,10.0
74174,13.0
74175,10.0
74176,10.0
74177,7.0
74178,9.0
74179,13.0
74180,6.0
74181,8.0
74182,10.0
74183,8.0
74184,9.0
74185,14.0
74186,13.0
74187,12.0
74188,10.0
74189,6.0
74190,10.0
74191,12.0
74192,16.0
74193,9.0
74194,4.0
74195,12.0
74196,11.0
74197,9.0
74198,7.0
74199,11.0
74200,9.0
74201,9.0
74202,12.0
74203,10.0
74204,13.0
74205,10.0
74206,10.0
74207,7.0
74208,16.0
74209,15.0
74210,11.0
74211,6.0
74212,10.0
74213,13.0
74214,13.0
74215,9.0
74216,9.0
74217,13.0
74218,9.0
74219,9.0
74220,17.0
74221,8.0
74222,11.0
74223,9.0
74224,8.0
74225,10.0
74226,10.0
74227,10.0
74228,6.0
74229,11.0
74230,16.0
74231,9.0
74232,10.0
