id,Predicted
15289,4320.87416
15290,6909.43
15291,6320.96112
15292,4503.16186
15293,3837.51296
15294,4546.78674
15295,7236.09025
15296,6598.85404
15297,8116.53175
15298,4320.87416
15299,6619.84695
15300,5711.85174
15301,5781.85965
15302,5455.11891
15303,4696.44394
15304,4228.81888
15305,4580.393
15306,6374.4443
15307,4999.15621
15308,6299.22636
15309,6397.35569
15310,5946.15842
15311,4282.70063
15312,5323.30034
15313,5492.81699
15314,6249.47082
15315,4320.87416
15316,7924.51678
15317,5665.2196
15318,7127.16457
15319,7231.02778
15320,7415.89441
15321,6475.89456
15322,2688.02883
15323,5996.07855
15324,2625.26916
15325,6480.80815
15326,6079.08526
15327,4167.45124
15328,7945.18784
15329,7028.6735
15330,6752.01695
15331,5566.52275
15332,5718.40817
15333,6328.89332
15334,5498.43844
15335,8007.20621
15336,4334.84122
15337,6198.06496
15338,6822.97163
15339,5203.87681
15340,7588.36096
15341,5524.14541
15342,5453.99382
15343,6880.7759
15344,6072.83443
15345,4218.32799
15346,5329.2632
15347,6010.76008
15348,5637.9843
15349,6236.70711
15350,4808.60902
15351,5781.85965
15352,5498.43844
15353,6731.61844
15354,4587.38557
15355,4167.45124
15356,5807.00693
15357,5016.74159
15358,7231.02778
15359,5086.60991
15360,3813.16579
15361,5665.2196
15362,7706.88137
15363,6589.27898
15364,4166.29973
15365,4282.70063
15366,4684.89321
15367,7150.9817
15368,4867.94772
15369,5773.62581
15370,6071.2289
15371,3049.39771
15372,4334.84122
15373,6554.97686
15374,4867.94772
15375,5834.98164
15376,4853.8076
15377,5739.92493
15378,4560.22361
15379,6146.83152
15380,7107.60976
15381,6244.19576
15382,4975.88538
15383,7380.6338
15384,5399.86113
15385,3804.61017
15386,3387.78516
15387,3276.36206
15388,6626.8515
15389,6491.22353
15390,8298.20697
15391,6702.78038
15392,7235.77564
15393,6903.87339
15394,6107.38247
15395,5534.80494
15396,6638.65649
15397,6575.59267
15398,6754.44894
15399,5686.12196
15400,5347.71894
15401,6595.90158
15402,7028.6735
15403,6097.44285
15404,7924.51678
15405,7071.61532
15406,8064.73881
15407,5632.45917
15408,7127.16457
15409,5696.02606
15410,6299.22636
15411,8212.79289
15412,6226.28514
15413,6638.65649
15414,5919.43076
15415,5718.40817
15416,6941.82413
15417,6409.14001
15418,7675.96352
15419,5831.7066
15420,2946.92602
15421,6524.29532
15422,3276.36206
15423,6619.84695
15424,6583.45789
15425,6731.71221
15426,3708.20502
15427,7998.35059
15428,6249.47082
15429,7669.81182
15430,7457.50606
15431,5946.05226
15432,5632.45917
15433,2508.37567
15434,8413.65966
15435,3244.32926
15436,5403.69852
15437,4745.46028
15438,5154.97591
15439,5732.24032
15440,5932.23909
15441,6731.61844
15442,5154.97591
15443,4580.393
15444,5347.71894
15445,3436.49354
15446,6626.8515
15447,6852.97971
15448,7969.02575
15449,8562.37077
15450,7080.04004
15451,5330.36931
15452,4888.50303
15453,7103.50894
15454,5711.85174
15455,8408.38341
15456,5674.02852
15457,6836.60081
15458,5971.39402
15459,6569.24967
15460,5192.88315
15461,5004.15434
15462,5772.91016
15463,7130.83001
15464,6598.85404
15465,5535.05665
15466,6239.53349
15467,7161.9619
15468,3826.17226
15469,2452.68075
15470,7380.6338
15471,7357.3589
15472,7443.62446
15473,5305.74363
15474,6515.26145
15475,4546.78674
15476,5932.23909
15477,5695.56442
15478,4966.77945
15479,6942.3963
15480,8570.91353
15481,7565.10416
15482,7443.62446
15483,6687.25926
15484,5931.7528
15485,7800.50128
15486,6320.96112
15487,6621.25081
15488,5862.80545
15489,5395.33158
15490,6539.11085
15491,6292.96076
15492,5482.0813
15493,7297.7321
15494,6249.47082
15495,7163.9441
15496,7381.3794
15497,4580.393
15498,7136.98445
15499,4546.78674
15500,7163.9441
15501,5498.43844
15502,7064.16978
15503,7400.77538
15504,6190.66597
15505,6595.90158
15506,4068.35066
15507,4125.75712
15508,6132.99793
15509,5246.52146
15510,4936.10558
15511,6236.70711
15512,5291.89688
15513,6608.04163
15514,6325.26613
15515,6026.06365
15516,5203.87681
15517,8298.20697
15518,7235.77564
15519,7800.50128
15520,5503.09583
15521,6673.304
15522,6920.08427
15523,6948.2288
15524,5864.12845
15525,4572.12637
15526,5498.58395
15527,4218.32799
15528,3911.42225
15529,8284.85461
15530,7230.1325
15531,7024.74836
15532,7041.38018
15533,4926.27902
15534,8173.5891
15535,3496.35236
15536,6795.88187
15537,5299.66133
15538,7884.56772
15539,5919.43076
15540,6115.94707
15541,7706.88137
15542,7517.44077
15543,7041.38018
15544,4700.57615
15545,4899.11899
15546,8175.45619
15547,5367.61826
15548,5882.96562
15549,6836.39728
15550,6771.72291
15551,7022.18973
15552,6591.78118
15553,4387.74185
15554,5367.61826
15555,5429.68161
15556,6826.20873
15557,3447.0821
15558,4179.18592
15559,6146.83152
15560,7825.87492
15561,5865.38472
15562,7706.88137
15563,6539.11085
15564,3900.34404
15565,6274.93484
15566,6182.75087
15567,6467.65476
15568,3385.36422
15569,4218.32799
15570,4899.11899
15571,5695.56442
15572,3923.90628
15573,5946.05226
15574,6132.99793
15575,6251.61184
15576,3826.17226
15577,6594.0446
15578,7080.04004
15579,3182.69865
15580,7888.41493
15581,7152.13259
15582,8440.96097
15583,3049.39771
15584,6292.42962
15585,4278.76321
15586,6189.7798
15587,7907.24067
15588,7215.40971
15589,5632.45917
15590,5934.01088
15591,6409.14001
15592,8157.23694
15593,6771.72291
15594,6543.97182
15595,3828.16556
15596,4357.82292
15597,5674.02852
15598,5596.22636
15599,5741.31418
15600,2379.90521
15601,5236.03334
15602,5911.49359
15603,4667.72494
15604,6870.34212
15605,7044.56761
15606,5931.7528
15607,5686.12196
15608,6524.29532
15609,7152.13259
15610,6098.11317
15611,4945.79443
15612,6752.01695
15613,6368.84982
15614,4323.93099
15615,5498.58395
15616,6301.03442
15617,1945.53061
15618,6663.00068
15619,6771.72291
15620,5009.96222
15621,4057.55521
15622,3895.62684
15623,5867.99722
15624,4930.61903
15625,4045.47966
15626,7013.00281
15627,4769.31827
15628,6299.22636
15629,5381.27266
15630,5377.27086
15631,5501.87808
15632,5597.02216
15633,4920.13663
15634,6628.76363
15635,4769.31827
15636,7713.4796
15637,6281.91711
15638,5773.00842
15639,3804.61017
15640,5729.71505
15641,6475.89456
15642,6595.45629
15643,4068.35066
15644,6098.11317
15645,5199.79211
15646,6146.83152
15647,8157.23694
15648,5492.81699
15649,6608.04163
15650,8109.2305
15651,5538.91301
15652,8562.37077
15653,4936.01177
15654,7861.46538
15655,4282.70063
15656,5200.57849
15657,5498.46022
15658,6412.47345
15659,7007.66825
15660,7510.79057
15661,7127.16457
15662,6255.89064
15663,8166.59786
15664,4334.84122
15665,4225.96131
15666,3373.43684
15667,7162.43364
15668,7897.9319
15669,5791.45673
15670,6920.08427
15671,5665.2196
15672,6898.39095
15673,7297.7321
15674,6255.89064
15675,4476.81146
15676,5347.71894
15677,5356.87186
15678,7399.87589
15679,6608.90751
15680,4952.01304
15681,7443.62446
15682,5772.91016
15683,5996.07855
15684,6771.72291
15685,8743.52098
15686,8711.20896
15687,5403.69852
15688,7293.53617
15689,7243.22611
15690,6619.84695
15691,6526.98819
15692,5205.3203
15693,7340.46077
15694,7024.74836
15695,6189.7798
15696,7440.71201
15697,5203.87681
15698,7557.46014
15699,5428.10602
15700,6862.90839
15701,3826.17226
15702,4575.76991
15703,3139.43255
15704,4201.43596
15705,5946.15842
15706,6598.85404
15707,6107.38247
15708,6347.56076
15709,6909.43
15710,7576.39253
15711,6255.89064
15712,7022.18973
15713,5403.69852
15714,3943.13168
15715,5018.45303
15716,6392.35667
15717,5217.13976
15718,5005.32997
15719,6451.10052
15720,4920.13663
15721,5124.8549
15722,7107.60976
15723,6539.11085
15724,5046.45734
15725,4575.76991
15726,6578.23522
15727,7400.77538
15728,5791.45673
15729,5136.93247
15730,4936.01177
15731,4899.11899
15732,7690.1749
15733,6919.34518
15734,6842.76056
15735,5996.07855
15736,6708.24129
15737,6524.29532
15738,3322.9462
15739,3834.5748
15740,7963.93931
15741,5971.39402
15742,6037.68613
15743,4667.72494
15744,6554.97686
15745,7159.33666
